4,,"Maxtime ,",M,intime +,J,"acobiMi ,",J,acobiMa,1.171411632,1.171348282,0.96120847,1.134099432,Residual,12019999.99,MLUPs,1475.143283
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.17899757,1.178992771,0.961708229,1.144748597,Residual,2000000,MLUPs,1465.651876
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.127182534,1.127164228,0.960204356,1.093427326,Residual,425925.9258,MLUPs,1533.025883
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.1502398,1.150218259,0.960181888,1.116628311,Residual,126543.2098,MLUPs,1502.295434
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.14675091,1.146719474,0.960828376,1.113737139,Residual,51826.13169,MLUPs,1506.866038
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.141835001,1.141829999,0.960623963,1.109448721,Residual,26702.1351,MLUPs,1513.353504
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.201096569,1.201062073,0.960699902,1.168670985,Residual,15893.99888,MLUPs,1438.685319
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.174527272,1.174496047,0.96291756,1.142081776,Residual,10378.24299,MLUPs,1471.230206
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.09705882,1.097050239,0.959541585,1.064918767,Residual,7222.263303,MLUPs,1575.120649
,4,Maxtime,",",Mintime,+,JacobiMi,",",JacobiMa,1.085825715,1.085812635,0.958808462,1.05230574,Residual,5266.18987,MLUPs,1591.415617
