mpirun -np 2 --report-bindings --map-by core ./IMB-MPI1 PingPong,,,,,,
tnode008,,,,,,
0.45 0.54,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,0.24,0,0.24,0,0.24
1,1000,0.27,3.65,0.070210743,14.2305,0.240071345
2,1000,0.29,6.95,0.09633499,20.744,0.240142691
4,1000,0.3,13.55,0.132179633,30.239,0.240285381
8,1000,0.29,27.51,0.18136147,44.08,0.240570763
16,1000,0.29,54.53,0.248843049,64.2562,0.241141526
32,1000,0.29,109.19,0.341433397,93.6675,0.242283051
64,1000,0.34,189.74,0.46847507,136.541,0.244566103
128,1000,0.37,344.26,0.64278683,199.0384,0.249132205
256,1000,0.46,561.47,0.88195709,290.1422,0.25826441
512,1000,0.63,815.21,1.210118614,422.9459,0.27652882
1024,1000,0.72,1420.84,1.660383569,616.5364,0.313057641
2048,1000,0.84,2429.65,2.278184604,898.7371,0.386115281
4096,1000,1.76,2320.73,3.125859101,1310.1065,0.532230562
8192,1000,2.17,3778.4,4.288939142,1909.7677,0.824461125
16384,1000,2.74,5982.87,5.884781868,2783.9055,1.40892225
32768,1000,3.92,8368.45,8.074411058,4058.1531,2.5778445
65536,640,5.05,12977.33,11.07876475,5915.6486,4.915689
131072,320,10.56,12410.58,15.20098835,8623.3558,9.591378
262144,160,18.7,14016.33,20.85702261,12570.4332,18.942756
524288,80,38.52,13611.36,28.61757288,18324.1645,37.645512
1048576,40,91.49,11460.85,39.26569448,26711.4904,75.051024
2097152,20,215.46,9733.4,53.87580454,38937.8583,149.862048
4194304,10,427.41,9813.26,73.92209291,56760.4721,299.484096
