"mpirun -np 2 --mca pml ob1 --report-bindings --oversubscribe --map-by node --mca btl tcp,self ./IMB-MPI1 PingPong NOTE: on dssc",,,,,,
tnode 008 tnode009,,,,,,
0.26 0.73,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,16.2,0,16.2,0,16.2
1,1000,16.11,0.06,6.516664114,0.1534,16.20034907
2,1000,16,0.13,7.815612756,0.2558,16.20069813
4,1000,16.12,0.25,9.373477241,0.4266,16.20139626
8,1000,16.16,0.49,11.24186655,0.7115,16.20279253
16,1000,16.11,0.99,13.48267673,1.1865,16.20558505
32,1000,16.16,1.98,16.17014141,1.9787,16.2111701
64,1000,16.29,3.93,19.39329099,3.2997,16.22234021
128,1000,17.06,7.5,23.25890207,5.5027,16.24468041
256,1000,17.08,14.99,27.89503472,9.1764,16.28936083
512,1000,17.11,29.92,33.45527488,15.3029,16.37872165
1024,1000,17.89,57.24,40.12382233,25.5196,16.5574433
2048,1000,39.46,51.9,48.12159292,42.5574,16.91488661
4096,1000,39.74,103.08,57.713537,70.9702,17.62977321
8192,1000,40.86,200.49,69.21741678,118.3522,19.05954642
16384,1000,43.45,377.08,83.01433312,197.3682,21.91909285
32768,1000,50.43,649.76,99.56135065,329.1378,27.6381857
65536,640,63.57,1030.94,119.4066394,548.8813,39.07637139
131072,320,117.05,1119.8,143.2076348,915.333,61.95274278
262144,160,165.92,1579.98,171.7528167,1526.4402,107.7054856
524288,80,244.29,2146.17,205.9878309,2545.5432,199.2109711
1048576,40,394.94,2655.05,247.0468157,4245.0336,382.2219423
2097152,20,732.04,2864.79,296.2899746,7079.1613,748.2438845
4194304,10,1589.12,2639.39,355.3486361,11805.4481,1480.287769
