"mpirun -np 2 --report-bindings --mca pml ob1 --mca btl tcp,self ./IMB-MPI1 PingPong",,,,,,
TBA,,,,,,
0.29 0.7,,,,,,
size,repetitions,tusec,Mbytessec,tusec_computed,mbsec_computed,tcomm_model
0,1000,7.91,0,7.91,0,7.91
1,1000,7.93,0.13,2.614359996,0.3843,7.910295272
2,1000,7.97,0.25,3.211471234,0.6256,7.910590544
4,1000,7.99,0.5,3.944960719,1.0182,7.911181087
8,1000,7.94,1.01,4.845976793,1.6572,7.912362174
16,1000,7.98,2.01,5.952781979,2.6974,7.914724349
32,1000,7.98,4.01,7.312377836,4.3903,7.919448698
64,1000,7.92,8.08,8.982500922,7.1458,7.928897396
128,1000,8.47,15.12,11.03407464,11.6306,7.947794792
256,1000,8.49,30.14,13.55422105,18.9303,7.985589584
512,1000,8.55,59.88,16.64996063,30.8114,8.061179168
1024,1000,9.74,105.11,20.45275696,50.1493,8.212358336
2048,1000,9.04,226.54,25.12409949,81.6242,8.514716672
4096,1000,11.03,371.33,30.86236131,132.8534,9.119433344
8192,1000,11.59,707.01,37.91122329,216.2353,10.32886669
16384,1000,15.7,1043.79,46.5700222,351.9497,12.74773338
32768,1000,25.66,1277.18,57.20646235,572.8415,17.58546675
65536,640,56.92,1151.46,70.2722305,932.3701,27.2609335
131072,320,81.65,1605.34,86.3221772,1517.5474,46.611867
262144,160,122.68,2136.85,106.037879,2469.9955,85.31373401
524288,80,195.55,2681.1,130.2565824,4020.2222,162.717468
1048576,40,327.86,3198.25,160.0067581,6543.4074,317.524936
2097152,20,623.92,3361.22,196.5517762,10650.2025,627.1398721
4194304,10,1238.46,3386.71,241.4435564,17334.5179,1246.369744
